transcriptid	prot	description	chrom	strand	cdsStart	cdsEnd	exonStarts	exonEnds
knownGene.uc001cms.1.1.inc	PTCH2	patched 2	chr1	-	45061506	45070505	45060673,45061327,45061501,45064508,45064746,45065160,45065425,45065660,45066101,45066554,45066764,45067240,45067415,45067660,45067872,45068167,45069106,45069964,45070233,45070410,45080105,45081119,	45060928,45061427,45061644,45064646,45065027,45065341,45065568,45065973,45066450,45066673,45066890,45067333,45067571,45067792,45068020,45068289,45069302,45070056,45070303,45070600,45080298,45081203,
knownGene.uc001cnd.1.1.inc	ZSWIM5	Zinc finger SWIM domain-containing protein 5.	chr1	-	45257066	45444255	45254664,45258324,45258883,45272570,45273946,45274297,45277194,45278650,45281477,45289332,45296867,45298357,45326139,45444014,	45257575,45258406,45259047,45272728,45274082,45274558,45277332,45278797,45281654,45289512,45297018,45298506,45326496,45444815,
knownGene.uc001cno.1.1.inc	MUTYH	A/G-specific adenine DNA glycosylase (EC 3.2.2.-) (MutY homolog) (hMYH).	chr1	-	45567693	45571191	45567500,45568774,45569440,45569678,45569919,45570281,45570424,45570649,45570832,45571021,45571176,45571355,45571543,45571671,45572649,45578477,	45567696,45568816,45569593,45569815,45570108,45570345,45570569,45570747,45570946,45571093,45571218,45571429,45571583,45571756,45572770,45578729,
knownGene.uc001cnp.1.1	TOE1	target of EGR1, member 1 (nuclear)	chr1	+	45578511	45581961	45577928,45578378,45579331,45579561,45579731,45580207,45580642,45581101,45581340,	45578370,45578563,45579474,45579602,45579828,45580366,45580902,45581261,45581961,
knownGene.uc001cpz.1.1.inc	DKFZp686E14208	Hypothetical protein DKFZp686E14208 (MAP kinase interacting serine/threonine kinase 1).	chr1	-	46796932	46814837	46795676,46798492,46799736,46800907,46803299,46806701,46810321,46814833,46818788,46821486,46824132,	46797059,46798536,46799901,46801102,46803395,46806757,46810426,46814913,46818886,46821588,46824233,
knownGene.uc001cqg.1.1	ATPAF1	ATP synthase mitochondrial F1 complex assembly	chr1	-	46874034	46896421	46870997,46890839,46892075,46896385,46896945,46903514,	46874229,46890887,46892126,46896448,46896996,46903631,
knownGene.uc001cqj.1.1	LOC374973	LOC374973 protein (Fragment).	chr1	+	46910193	46911715	46910086,46911131,	46910230,46911843,
knownGene.uc001cqs.1.1.inc	CYP4X1	cytochrome P450, family 4, subfamily X,	chr1	+	47269702	47288301	47242498,47268248,47269694,47271499,47274064,47274275,47276918,47277600,47284725,47286823,47287680,47288258,	47242628,47268390,47269739,47271627,47274192,47274430,47277025,47277791,47284859,47286888,47287763,47289010,
knownGene.uc001crf.1.1.inc	STIL	SCL/TAL1 interrupting locus isoform 2	chr1	-	47498738	47519366	47498547,47501161,47507893,47510334,47518499,47520603,	47498798,47501372,47508125,47510500,47519468,47522332,
knownGene.uc001cro.1.1.inc	SLC5A9	solute carrier family 5 (sodium/glucose	chr1	+	48463042	48485601	48460990,48462982,48467108,48467553,48468858,48469803,48470204,48470625,48471913,48473987,48475937,48477580,48480715,48485593,	48461157,48463054,48467213,48467718,48468964,48469884,48470410,48470761,48472021,48474138,48476106,48477796,48480875,48486903,
knownGene.uc001csh.1.1.inc	C1orf185	Uncharacterized protein C1orf185.	chr1	+	51350767	51385971	51340487,51350723,51356925,51383983,51385726,	51340509,51350829,51357061,51384020,51386107,
knownGene.uc001csj.1.1	C1orf34	hypothetical protein LOC22996	chr1	-	51526416	51534394	51525369,51527098,51528264,51528773,51532650,51534338,51536050,	51526540,51527215,51528379,51528885,51532771,51534430,51536182,
knownGene.uc001ctr.1.1.inc	CC2D1B	coiled-coil and C2 domain containing 1B	chr1	-	52591895	52596140	52590791,52591777,52592867,52593099,52593657,52593867,52594030,52594445,52594643,52595260,52595785,52596040,52596590,	52591483,52591907,52592958,52593199,52593709,52593926,52594104,52594562,52594702,52595386,52595958,52596158,52596721,
knownGene.uc001cuk.1.1.inc	BC119789	Homo sapiens ZYG-11A early embryogenesis protein mRNA, complete cds.	chr1	+	53092781	53104780	53080861,53092724,53095257,53098990,53102240,53104762,53105798,	53081233,53092890,53096009,53099131,53102417,53104827,53105898,
knownGene.uc001cup.1.1	ECHDC2	enoyl Coenzyme A hydratase domain containing 2	chr1	-	53134779	53159933	53134492,53135696,53137433,53142905,53143293,53144778,53146127,53149825,53149982,53159812,	53134857,53135744,53137484,53143093,53143350,53144871,53146214,53149913,53150050,53159986,
knownGene.uc001cvh.1.1.inc	LRP8	low density lipoprotein receptor-related protein	chr1	-	53489045	53502607	53483799,53488949,53493376,53495499,53496578,53498723,53500327,53500705,53502428,53504732,53509486,53513890,53518846,53527826,53565132,53565517,	53485316,53489122,53493445,53495724,53496731,53498865,53500467,53500824,53502656,53504907,53509606,53514013,53518975,53527949,53565252,53565659,
knownGene.uc001cwq.1.1	TMEM59	thymic dendritic cell-derived factor 1	chr1	-	54270410	54291449	54269936,54274870,54279016,54279984,54281633,54283952,54285527,54291260,	54270566,54274979,54279101,54280066,54281786,54284047,54285633,54291699,
knownGene.uc001cwy.1.1	FLJ00377	FLJ00377 protein (Fragment).	chr1	-	54412879	54422517	54410614,54417409,54422421,54425912,54433679,54434629,54438236,	54413083,54417613,54422526,54426000,54433976,54434752,54438273,
knownGene.uc001cxk.1.1.inc	ACOT11	thioesterase, adipose associated isoform BFIT2	chr1	+	54823050	54835614	54786488,54786727,54822915,54824095,54830806,54832201,54832816,54835519,	54786603,54786880,54823123,54824165,54830867,54832300,54832952,54837103,
knownGene.uc001cyb.1.1.inc	C1orf177	hypothetical protein LOC163747	chr1	+	55045275	55055333	55044323,55045256,55045786,55046149,55050054,55050306,55052074,55053174,55055249,55080061,	55044481,55045344,55045951,55046272,55050192,55050450,55052236,55053300,55055383,55080511,
knownGene.uc001cyh.1.1.inc	KIAA1057	Homo sapiens mRNA for KIAA1057 protein, partial cds.	chr1	-	55334873	55379968	55332197,55333515,55334758,55335212,55335858,55336203,55336736,55338031,55339099,55339844,55342136,55344406,55345499,55348445,55358856,55359696,55361707,55362729,55363580,55363923,55367737,55370805,55372330,55372588,55375775,55376066,55376868,55377204,55379876,55381002,55381239,55382387,55384258,55385189,55385909,	55332348,55333657,55334883,55335433,55335978,55336345,55336819,55338130,55339225,55339964,55342281,55344524,55345691,55348507,55359017,55359767,55361863,55362889,55363809,55364019,55367835,55370961,55372424,55372674,55375949,55376165,55376979,55377271,55379992,55381056,55381380,55382464,55384370,55385321,55386025,
knownGene.uc001czd.1.1.inc	DKFZp779J1554	Homo sapiens mRNA; cDNA DKFZp686O0940 (from clone DKFZp686O0940).	chr1	-	58928475	58938276	58924363,58928599,58931120,58933388,58938244,	58928509,58928677,58931191,58933467,58938332,
knownGene.uc001dai.1.1	ANKRD38	ankyrin repeat domain 38	chr1	-	62476536	62519824	62475408,62485731,62491326,62501351,62504991,62506546,62509737,62519808,62557364,	62476641,62485932,62491469,62501571,62505079,62506765,62509849,62519894,62557671,
knownGene.uc001dar.1.1.inc	KIAA1771	Homo sapiens mRNA for KIAA1771 protein, partial cds.	chr1	-	62712311	62716012	62712240,62713466,62713965,62714325,62715958,	62712347,62713610,62714202,62714415,62717263,
knownGene.uc001dbt.1.1	RAVER2	ribonucleoprotein, PTB-binding 2	chr1	+	65015940	65069256	65015893,65019650,65027658,65041246,65043004,65043261,65045476,65051008,65052974,65069109,	65016363,65019842,65027785,65041332,65043109,65043376,65045745,65051120,65053111,65071500,
knownGene.uc001dcc.1.1.inc	DNAJC6	DnaJ (Hsp40) homolog, subfamily C, member 6	chr1	+	65602970	65630955	65492735,65602905,65604155,65604318,65617672,65622463,65623982,65625082,65626606,65627526,65627817,65630701,	65492920,65603056,65604205,65604467,65617795,65622597,65624177,65625200,65626686,65627720,65627898,65631136,
knownGene.uc001dcz.1.1.inc	WDR78	WD repeat domain 78 isoform 2	chr1	-	67109713	67163006	67109516,67113051,67129424,67131499,67143471,67162932,	67109780,67113208,67129537,67131684,67143646,67163158,
knownGene.uc001dda.1.1	DKFZp451G243	Homo sapiens mesoderm induction early response 1 N3-beta mRNA, complete cds, alternatively spliced.	chr1	+	67163299	67184504	67163229,67164412,67167160,67178298,67184420,	67163366,67164513,67167234,67178323,67186511,
knownGene.uc001ddt.1.1	IL23R	Interleukin-23 receptor precursor (IL-23R).	chr1	+	67494165	67497399	67445886,67457844,67494107,67496748,	67445969,67458001,67494198,67498238,
knownGene.uc001deg.1.1	GPR177	G protein-coupled receptor 177 isoform 1	chr1	-	68364496	68470570	68363628,68376050,68382839,68384139,68386406,68386833,68388458,68391787,68393369,68397393,68470464,	68364606,68376204,68382923,68384283,68386470,68386931,68388627,68391924,68393531,68397518,68470841,
knownGene.uc001dem.1.1.inc	DEPDC1	DEP domain containing 1	chr1	-	68716162	68732771	68713525,68716057,68717414,68719710,68720316,68722220,68725207,68726644,68727186,68727722,68732700,68735222,	68715340,68716243,68717591,68719883,68721168,68722361,68725255,68726775,68727305,68727879,68732966,68735295,
knownGene.uc001deq.1.1	LRRC7	leucine rich repeat containing 7	chr1	+	70276486	70360158	70274714,70276383,70291296,70314347,70327997,70346022,70360050,	70274895,70278064,70291416,70314569,70328090,70346097,70361759,
knownGene.uc001dev.1.1.inc	SFRS11	splicing factor, arginine/serine-rich 11	chr1	+	70475762	70488989	70468548,70470538,70472966,70473771,70475695,70477709,70482954,70485088,70488222,70488635,70488878,	70470246,70470648,70473059,70473821,70475823,70477791,70483086,70485178,70488318,70488774,70490272,
knownGene.uc001dfy.1.1.inc	LRRC44	LRRC44 protein.	chr1	-	74265150	74279927	74264512,74279484,	74265241,74280119,
knownGene.uc001dga.1.1.inc	LRRC44	Leucine rich repeat containing 44.	chr1	-	74420842	74421896	74418179,74420809,74421707,74436267,	74419044,74421133,74421956,74436419,
knownGene.uc001dgi.1.1	C1orf173	hypothetical protein LOC127254	chr1	-	74827885	74870185	74827598,74837966,74844872,74850894,74859005,74869984,74872936,	74828352,74838203,74845174,74851081,74859186,74870200,74873126,
knownGene.uc001dhg.1.1.inc	ST6GALNAC3	ST6	chr1	+	76552122	76650637	76312991,76552077,76650280,76815118,	76313157,76552272,76650690,76815480,
knownGene.uc001dhy.1.1.inc	DKFZp686K12247	Hypothetical protein DKFZp686K12247 (Fragment).	chr1	+	78052053	78097318	78041542,78045247,78052006,78053380,78081579,78097210,	78041679,78045374,78052140,78053504,78081680,78100448,
knownGene.uc001dib.1.1.inc	NEXN	Homo sapiens clone HH409 unknown mRNA.	chr1	+	78156310	78171647	78126900,78154327,78156232,78156397,78163460,78164686,78164988,78167588,78171554,	78127032,78154406,78156311,78156546,78163502,78164884,78165165,78167777,78171752,
knownGene.uc001dis.1.1	KIAA0786	Homo sapiens mRNA for KIAA0786 protein, partial cds.	chr1	+	82075257	82229417	81544432,81683293,81817572,81819148,82000083,82075157,82145289,82174999,82228662,	81544782,81683362,81817653,81819253,82000125,82075330,82145503,82175109,82230695,
knownGene.uc001dkc.1.1.inc	CTBS	Chitobiase, di-N-acetyl-.	chr1	-	84793356	84808366	84792809,84801527,84802005,84804111,84808201,84808852,84812186,	84793470,84801689,84802103,84804283,84808410,84808991,84812701,
knownGene.uc001dke.1.1	C1orf180	Putative uncharacterized protein C1orf180.	chr1	-	84868884	84869978	84866500,84869880,84873202,	84869158,84870017,84873291,
knownGene.uc001dkk.1.1.inc	SSX2IP	synovial sarcoma, X breakpoint 2 interacting	chr1	-	84894129	84908967	84893735,84894102,84894618,84896588,84900468,84900725,84902687,84904392,84907951,84908916,84909459,84918608,84928944,	84893859,84894276,84894755,84896739,84900646,84900801,84902823,84904503,84908164,84909086,84909579,84918658,84929028,
knownGene.uc001dku.1.1.inc	RP11-33E12.1	Novel protein (FLJ13815).	chr1	-	85420554	85438799	85419433,85428327,85438522,	85421471,85429023,85439044,
knownGene.uc001dli.1.1	COL24A1	collagen, type XXIV, alpha 1	chr1	-	85968816	86149674	85967503,85973019,85975666,85982936,85983711,86013944,86019490,86021766,86022383,86022529,86024624,86055058,86056304,86061806,86061955,86076855,86079492,86080338,86080610,86085935,86087623,86106789,86107052,86112919,86113547,86115392,86127830,86134128,86134291,86134626,86145464,86146868,86148220,86149650,86199519,	85968963,85973235,85975776,85983105,85983777,86013980,86019544,86021829,86022437,86022637,86024732,86055166,86056358,86061860,86062009,86076909,86079549,86080392,86080664,86086043,86087677,86106897,86107106,86112973,86113601,86115446,86127884,86134173,86134336,86134680,86145518,86146922,86148274,86149704,86201520,
knownGene.uc001dly.1.1.inc	SH3GLB1	SH3-containing protein SH3GLB1	chr1	+	86954039	86980698	86942844,86953994,86957777,86960810,86962583,86966673,86972872,86973349,86980478,86981398,	86943242,86954136,86957906,86960944,86962676,86966760,86972962,86973450,86980707,86986455,
knownGene.uc001dob.1.1	RP11-539G11.1	Novel protein (FLJ36760).	chr1	-	91500381	91581605	91500331,91500625,91504161,91505889,91511856,91512874,91514772,91515126,91551493,91552101,91553959,91554245,91554535,91557437,91561094,91561237,91562819,91581574,91585573,	91500537,91500737,91504252,91506000,91511960,91512954,91514888,91515207,91551640,91552205,91554117,91554329,91554621,91557535,91561142,91561344,91562911,91581655,91585621,
knownGene.uc001doj.1.1	TGFBR3	transforming growth factor, beta receptor III	chr1	-	91921883	92099676	91920574,91933816,91936233,91946807,91950387,91954380,91954712,91957456,91958037,91960099,91965803,91967949,91972920,91996757,92035431,92099615,92137781,92143970,	91922002,91933924,91936275,91946928,91950687,91954539,91954853,91957609,91958372,91960289,91965951,91968118,91973104,91996895,92035616,92099789,92137842,92144147,
knownGene.uc001dpg.1.1.inc	RP4-716F6.2-001	Novel protein possible ortholog of mouse RIKEN cDNA 2900024C23 gene.	chr1	-	93081653	93114503	93080342,93085327,93088992,93114440,93199520,	93082340,93085504,93089100,93114575,93199601,
knownGene.uc001dpr.1.1.inc	RP4-717I23.1	Sarcoma antigen NY-SAR-41 (NY-SAR-41) (Fragment).	chr1	+	93492744	93503022	93492615,93494479,93496892,93502845,	93492759,93494683,93497030,93503088,
knownGene.uc001dqc.1.1	BC084562	Homo sapiens cDNA clone IMAGE:6285657.	chr1	+	93830419	93832565	93830222,93832517,93840282,	93830653,93832594,93840964,
knownGene.uc001drn.1.1	PTBP2	polypyrimidine tract binding protein 2	chr1	+	96960008	97051549	96959965,96961707,96989568,97007846,97008851,97015728,97015979,97023202,97042928,97044562,97045009,97050855,97051172,97051416,	96960016,96961738,96989644,97008019,97008995,97015893,97016090,97023398,97043083,97044596,97045102,97051072,97051250,97051805,
knownGene.uc001drw.1.1.inc	DPYD	DPYD protein (Dihydropyrimidine dehydrogenase).	chr1	-	97959665	98121506	97957911,97959653,97978535,98066257,98121407,98159027,	97959070,97959815,97978623,98066340,98121518,98159203,
knownGene.uc001duf.1.1	OLFM3	olfactomedin 3	chr1	-	102042381	102085117	102040718,102044219,102063169,102068815,102075022,102084988,	102043059,102044326,102063389,102068971,102075169,102085188,
knownGene.uc001dvl.1.1.inc	VAV-3	Homo sapiens VAV-like protein mRNA, partial cds.	chr1	-	108027675	108112642	108012985,108027632,108032525,108048694,108049104,108093112,108093606,108095261,108099571,108101405,108104928,108109220,108110591,108112585,108114780,108116879,108121375,108121814,108123578,108219045,108307562,	108013617,108027678,108032551,108048795,108049206,108093222,108093739,108095347,108099658,108101474,108105024,108109320,108110695,108112654,108114873,108116988,108121441,108121915,108123637,108219162,108307741,
knownGene.uc001dwl.1.1.inc	WDR47	WD repeat domain 47	chr1	-	109348862	109367531	109348736,109355060,109357964,109361662,109367499,109386006,	109348863,109355863,109358070,109361746,109367666,109386258,
knownGene.uc001dxq.1.1.inc	SYPL2	mitsugumin 29	chr1	+	109820984	109822175	109820913,109821962,	109821122,109826277,
knownGene.uc001dyy.1.1	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	chr1	+	110353199	110365825	110348275,110353178,110355358,110356506,110357041,110358907,110359569,110360488,110360811,110361639,110362090,110362517,110362696,110363195,110363692,110364875,110365818,	110348596,110353290,110355502,110356607,110357144,110359002,110359676,110360605,110360875,110361728,110362161,110362612,110362795,110363264,110363771,110364996,110367887,
knownGene.uc001dyz.1.1.inc	FAM40A	hypothetical protein LOC85369	chr1	+	110383586	110397835	110375721,110382035,110382827,110383316,110383539,110384779,110385680,110385878,110387232,110387783,110388984,110389159,110390824,110391686,110391916,110393256,110393604,110394487,110395100,110395827,110397809,	110375785,110382105,110382902,110383451,110383660,110384848,110385787,110386006,110387415,110388001,110389050,110389223,110390896,110391761,110392014,110393383,110393705,110394554,110395205,110396032,110398947,
knownGene.uc001dzk.1.1	RBM15	RNA binding motif protein 15	chr1	+	110683550	110686424	110683467,	110686832,
knownGene.uc001dzp.1.1.inc	SLC16A4	SLC16A4 protein (Solute carrier family 16 (Monocarboxylic acid transporters), member 4).	chr1	-	110708006	110727102	110707027,110719602,110721094,110725126,110725796,110726978,110733381,110735009,	110708038,110719696,110721306,110725288,110725940,110727111,110733500,110735159,
knownGene.uc001eac.1.1	C1orf103	receptor-interacting factor 1 isoform 2	chr1	-	111292103	111294256	111291367,111293995,111307765,	111292541,111294268,111308089,
knownGene.uc001eag.1.1.inc	CEPT1	choline/ethanolaminephosphotransferase	chr1	+	111491910	111503656	111483771,111491786,111503524,	111483906,111492198,111505100,
knownGene.uc001ebu.1.1	KCND3	potassium voltage-gated channel, Shal-related	chr1	-	112120221	112326871	112119976,112121170,112122580,112124369,112124834,112131088,112325765,112332892,	112120423,112121418,112122637,112124459,112124936,112131251,112326943,112333300,
knownGene.uc001ebw.1.1.inc	BC034233	Homo sapiens cDNA clone IMAGE:5277859.	chr1	+	112335077	112340622	112334680,112340571,	112335332,112342987,
knownGene.uc001efd.1.1.inc	DENND2C	DENN/MADD domain containing 2C	chr1	-	114932016	114969852	114928718,114931530,114931859,114938616,114939975,114943417,114944347,114944963,114945651,114946268,114949065,114952829,114955216,114962529,114966038,114967130,114967650,114969322,114989591,114998648,115014126,	114929775,114931617,114932096,114938722,114940017,114943595,114944496,114945104,114945729,114946338,114949175,114953017,114955261,114962626,114966209,114967243,114967787,114970332,114989703,114998905,115014255,
